Chemblid	Drug	canonical	formula	max_phase	synonyms
CHEMBL2	PRAZOSIN	COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC	C19H21N5O4	4.0	CP-12299;;;CP-122991;;;Prazosin;;;Prazosin;;;Prazosin;;;Prazosin;;;Prazosin;;;Prazosin
CHEMBL3	NICOTINE	CN1CCC[C@H]1c1cccnc1	C10H14N2	4.0	Habitrol;;;Nicabate;;;Nicoderm;;;Nicoderm cq;;;Nicopass;;;Nicopatch;;;Nicorette invisi;;;Nicotine;;;Nicotine;;;Nicotine;;;Nicotine;;;Nicotine;;;Nicotine;;;Nicotine;;;Nicotinell classic;;;Nicotinell support;;;Nicotinell tts 10;;;Nicotinell tts 20;;;Nicotinell tts 30;;;Nicotrol;;;Nicotrol Inhaler;;;Nicotrol NS;;;Niquitin;;;Niquitin clr;;;Niquitin minis cherry;;;Niquitin minis mint;;;Niquitin minis orange;;;Niquitin mint;;;Niquitin pre-quit;;;Niquitin strips mint;;;Prostep;;;Stoppers;;;Stubit
CHEMBL4	OFLOXACIN	CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23	C18H20FN3O4	4.0	DL-8280;;;Exocin;;;Floxin;;;Floxin otic;;;HOE 280;;;HOE-280;;;J01MA01;;;Ocuflox;;;Ofloxacin;;;Ofloxacin;;;Ofloxacin;;;Ofloxacin;;;Ofloxacin;;;Ofloxacin;;;Ofloxacin;;;Ofloxacin;;;Ofloxacin;;;Ofloxacin;;;Ofloxacin;;;Tarivid;;;Tarivid 400;;;Tarivid i.v.;;;Visiren
CHEMBL5	NALIDIXIC ACID	CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21	C12H12N2O3	4.0	Mictral;;;Nalidixane;;;Nalidixic acid;;;Nalidixic acid;;;Nalidixic acid;;;Nalidixic acid;;;Nalidixic acid;;;Nalidixic acid;;;Nalidixic acid;;;Nalidixic acid;;;Nalidixic acid;;;Nalidixic acid;;;Nalidixic acid;;;Nalix;;;Neggram;;;Neg Gram;;;Negram;;;NSC-82174;;;Uriben;;;Uroneg;;;WIN 18,320;;;WIN-18320;;;Wintomylon
CHEMBL6	INDOMETHACIN	COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1	C19H16ClNO4	4.0	Artracin;;;Artracin sr;;;Berlind 75 ret;;;Flexin-25 continus;;;Flexin-50 continus;;;Flexin-75 continus;;;Imbrilon;;;Indocid-r;;;Indocid ret;;;Indocin;;;Indocin sr;;;Indoderm;;;Indoflex;;;Indolar;;;Indolar sr;;;Indo-lemmon;;;Indomax-25;;;Indomax-75 sr;;;Indometacin;;;Indometacin;;;Indometacin;;;Indometacin;;;Indometacin;;;Indometacin;;;Indometacin;;;Indometacin farnesil;;;Indomethacin;;;Indomethacin;;;Indomethacin;;;Indomethacin;;;Indomethacin;;;Indomethacin;;;Indomod;;;Indo-paed;;;Indoptol;;;Indotard mr 75;;;Ledmecin;;;Maximet sr;;;Mobilan;;;NSC-77541;;;Pardelprin mr;;;Rheumacin la;;;Rimacid;;;Slo-indo;;;Tivorbex
CHEMBL403	SULBACTAM	CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O	C8H11NO5S	4.0	CP-45899;;;CP-458992;;;Sulbactam;;;Sulbactam;;;Sulbactam;;;Sulbactam;;;Sulbactam;;;Sulbactam;;;Sulbactam
CHEMBL404	TAZOBACTAM	C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O	C10H12N4O5S	4.0	CL 298,741;;;CL-298741;;;Tazobactam;;;Tazobactam;;;Tazobactam;;;Tazobactam;;;Tazobactam;;;Tazobactam;;;Tazobactam;;;Tazobactam;;;Tazobactam;;;YTR-830H
CHEMBL8	CIPROFLOXACIN	O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O	C17H18FN3O3	4.0	BAY O 9867 FREE BASE;;;BAY-O-9867 FREE BASE;;;BAYQ3939;;;BAY Q 3939;;;BAY-Q-3939;;;Cetraxal;;;Ciloxan;;;Ciloxan;;;Cipro;;;Ciprobay;;;Ciprofloxacin;;;Ciprofloxacin;;;Ciprofloxacin;;;Ciprofloxacin;;;Ciprofloxacin;;;Ciprofloxacin;;;Ciprofloxacin;;;Ciprofloxacin;;;Ciprofloxacin;;;Ciprofloxacin;;;Ciprofloxacin;;;Otiprio;;;Velmonit
CHEMBL9	NORFLOXACIN	CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21	C16H18FN3O3	4.0	Baccidal;;;Chibroxin;;;MK-366;;;Norfloxacin;;;Norfloxacin;;;Norfloxacin;;;Norfloxacin;;;Norfloxacin;;;Norfloxacin;;;Norfloxacin;;;Norfloxacin;;;Norfloxacin;;;Norfloxacin;;;Noroxin;;;Noroxin;;;Quinabic;;;Utinor
CHEMBL405	AMPHETAMINE	CC(N)Cc1ccccc1	C9H13N	4.0	Adzenys er;;;Adzenys xr-odt;;;Amfetamine;;;Amfetamine;;;Amfetamine;;;Amfetamine;;;Amphetamine;;;Amphetamine;;;Amphetamine;;;Amphetamine;;;Amphetamine;;;Amphetamine resin complex;;;Dyanavel xr;;;NSC-27159
